block,trial,trialtype,trialtype_string,cuetype,cuetype_string,correct_key,key_pressed,is_resp_corr,reaction_time,reaction_time_vpixx
1,1,0,right_cong,1,cong,red,,0,,
1,2,1,left_cong,1,cong,green,green,1,0.36111460000029183,0.3640931999998429
1,3,1,left_cong,1,cong,green,green,1,0.375591699999859,0.3785186999994039
1,4,0,right_cong,1,cong,red,green,0,0.5467817999997351,0.5533994999987044
1,5,1,left_cong,1,cong,green,green,1,0.8184784999994008,0.8249371999991126
1,6,0,right_cong,1,cong,red,red,1,0.27066329999979644,0.2737575999999535
1,7,1,left_cong,1,cong,green,red,0,0.6526122000013856,0.658886999999595
1,8,0,right_cong,1,cong,red,red,1,0.3225915000002715,0.32564149999961955
1,9,0,right_cong,1,cong,red,red,1,0.30577200000152516,0.3097678999984055
1,10,0,right_cong,1,cong,red,red,1,0.4323749000013777,0.43514369999866176
1,11,1,left_cong,1,cong,green,,0,,
1,12,0,right_cong,1,cong,red,,0,,
1,13,3,left_incg,0,incg,red,,0,,
1,14,2,right_incg,0,incg,green,,0,,
1,15,2,right_incg,0,incg,green,,0,,
1,16,3,left_incg,0,incg,red,,0,,
1,17,3,left_incg,0,incg,red,,0,,
1,18,3,left_incg,0,incg,red,,0,,
1,19,3,left_incg,0,incg,red,,0,,
1,20,3,left_incg,0,incg,red,,0,,
1,21,2,right_incg,0,incg,green,,0,,
1,22,2,right_incg,0,incg,green,,0,,
1,23,2,right_incg,0,incg,green,,0,,
1,24,2,right_incg,0,incg,green,,0,,
1,25,1,left_cong,1,cong,green,,0,,
1,26,0,right_cong,1,cong,red,,0,,
1,27,1,left_cong,1,cong,green,,0,,
1,28,2,right_incg,0,incg,green,,0,,
1,29,2,right_incg,0,incg,green,,0,,
1,1,0,right_cong,1,cong,red,green,0,0.7940340000004653,0.8002883999997721
1,2,1,left_cong,1,cong,green,red,0,0.4222908000010648,0.4255241999999271
1,3,1,left_cong,1,cong,green,green,1,0.34380529999907594,0.3465766999997868
1,4,0,right_cong,1,cong,red,red,1,0.37545090000094206,0.3786303999986558
1,5,1,left_cong,1,cong,green,green,1,2.0696715000012773,2.0766501999987668
1,6,0,right_cong,1,cong,red,green,0,0.26549549999981537,0.26891470000009576
1,7,1,left_cong,1,cong,green,green,1,0.6466682000009314,0.6537236999993183
1,8,0,right_cong,1,cong,red,green,0,0.26942310000049474,0.27180139999836683
1,9,0,right_cong,1,cong,red,green,0,0.27969430000121065,0.2824866999999358
1,1,0,right_cong,1,cong,red,red,1,1.9192641000008734,1.9260480999982974
1,2,1,left_cong,1,cong,green,green,1,1.2363021999990451,1.242227399998228
1,3,1,left_cong,1,cong,green,,0,,
1,4,0,right_cong,1,cong,red,green,0,0.28002119999837305,0.29670749999968393
1,5,1,left_cong,1,cong,green,green,1,0.43187489999945683,0.4339034000004176
1,1,0,right_cong,1,cong,red,green,0,0.7154912999994849,0.7224800999993022
1,1,0,right_cong,1,cong,red,red,1,1.2646308000003046,1.270552999998472
1,2,1,left_cong,1,cong,green,green,1,1.2232710999996925,1.2306083000003127
